album,track,artist,plays,duration
The College Dropout,All Falls Down,Kanye West,1002140036,3:43
The College Dropout,Through The Wire,Kanye West,464455400,3:41
The College Dropout,Jesus Walks,Kanye West,322858545,3:13
The College Dropout,Slow Jamz,Twista;Kanye West;Jamie Foxx,289330430,5:16
The College Dropout,Family Business,Kanye West,148264526,4:38
The College Dropout,Spaceship,Kanye West;GLC;Consequence,130665612,5:24
The College Dropout,We Don't Care,Kanye West,125185307,3:59
The College Dropout,The New Workout Plan,Kanye West,111074551,5:22
The College Dropout,Never Let Me Down,Kanye West;JAY-Z;J. Ivy,96649542,5:24
The College Dropout,Two Words,Kanye West;Mos Def;Freeway,75862967,4:26
The College Dropout,Last Call,Kanye West,66355576,12:40
The College Dropout,Breathe In Breathe Out,Kanye West;Ludacris,44681808,4:06
The College Dropout,School Spirit,Kanye West,47932911,3:02
The College Dropout,Get Em High,Kanye West;Talib Kweli;Common,70883345,4:49
The College Dropout,I'll Fly Away,Kanye West,36950815,1:09
The College Dropout,Graduation Day,Kanye West,34970005,1:21
The College Dropout,Workout Plan,Kanye West,23603283,0:46
The College Dropout,School Spirit Skit 1,Kanye West,18049833,1:18
The College Dropout,School Spirit Skit 2,Kanye West,16986561,0:43
The College Dropout,Lil Jimmy Skit,Kanye West,17247240,0:53
The College Dropout,Intro,Kanye West,115547,0:19
Late Registration,Gold Digger,Kanye West;Jamie Foxx,1459627709,3:27
Late Registration,Touch The Sky,Kanye West;Lupe Fiasco,501838219,3:56
Late Registration,Heard 'Em Say,Kanye West;Adam Levine,176397049,3:23
Late Registration,Diamonds From Sierra Leone (Remix),Kanye West;JAY-Z,94518709,3:53
Late Registration,Hey Mama,Kanye West,128363110,5:05
Late Registration,Roses,Kanye West,100817035,4:05
Late Registration,We Major,Kanye West;Nas;Really Doe,92855992,7:28
Late Registration,Diamonds From Sierra Leone,Kanye West,54763968,3:58
Late Registration,Bring Me Down,Kanye West;Brandy,34292053,3:18
Late Registration,Drive Slow,Kanye West;Paul Wall;GLC,118838107,4:32
Late Registration,My Way Home,Kanye West;Common,39425668,1:43
Late Registration,Crack Music,Kanye West;The Game,37880451,4:30
Late Registration,Addiction,Kanye West,59075134,4:27
Late Registration,Celebration,Kanye West,34326990,3:18
Late Registration,Gone,Kanye West;Consequence;Cam'ron,59718262,5:33
Late Registration,Late,Kanye West,48686950,3:50
Late Registration,Wake Up Mr. West,Kanye West,26801274,0:41
Late Registration,Skit #1,Kanye West,21935175,0:33
Late Registration,Skit #2,Kanye West,21280707,0:31
Late Registration,Skit #3,Kanye West,30481,0:24
Late Registration,Skit #4,Kanye West,12203516,1:18
Graduation,Stronger,Kanye West,1727418353,5:11
Graduation,Flashing Lights,Kanye West;Dwele,1617459836,3:57
Graduation,Good Life,Kanye West;T-Pain,562579089,3:27
Graduation,Homecoming,Kanye West;Chris Martin,991007580,3:23
Graduation,I Wonder,Kanye West,1081081659,4:03
Graduation,Champion,Kanye West,327977063,2:47
Graduation,Good Morning,Kanye West,397939603,3:15
Graduation,Can't Tell Me Nothing,Kanye West,910941632,4:31
Graduation,Everything I Am,Kanye West;DJ Premier,339917211,3:47
Graduation,The Glory,Kanye West,117386909,3:32
Graduation,Big Brother,Kanye West,90104809,4:47
Graduation,Drunk and Hot Girls,Kanye West;Mos Def,72814212,5:13
Graduation,Barry Bonds,Kanye West;Lil Wayne,84807885,3:24
Graduation,Good Night,Kanye West;Mos Def;Al Be Back,53148865,3:05
808s & Heartbreak,Heartless,Kanye West,1879633180,3:31
808s & Heartbreak,Amazing,Kanye West;Jeezy,187848896,3:58
808s & Heartbreak,Love Lockdown,Kanye West,231925683,4:30
808s & Heartbreak,Paranoid,Kanye West;Mr Hudson,124665948,4:37
808s & Heartbreak,Street Lights,Kanye West,98173874,3:09
808s & Heartbreak,Welcome To Heartbreak,Kanye West;Kid Cudi,96585088,4:22
808s & Heartbreak,See You In My Nightmares,Kanye West;Lil Wayne,50582100,4:18
808s & Heartbreak,Bad News,Kanye West,44506027,3:58
808s & Heartbreak,Robocop,Kanye West,50779258,4:34
808s & Heartbreak,Coldest Winter,Kanye West,58298681,2:44
808s & Heartbreak,Pinocchio Story,Kanye West,21815248,6:01
808s & Heartbreak,Say You Will,Kanye West,54729706,6:17
My Beautiful Dark Twisted Fantasy,POWER,Kanye West,1132776832,4:52
My Beautiful Dark Twisted Fantasy,Runaway,Kanye West;Pusha T,1088198249,9:07
My Beautiful Dark Twisted Fantasy,Devil In A New Dress,Kanye West;Rick Ross,666430785,5:51
My Beautiful Dark Twisted Fantasy,Monster,Kanye West;JAY-Z;Rick Ross;Nicki Minaj;Bon Iver,454933270,6:18
My Beautiful Dark Twisted Fantasy,All Of The Lights,Kanye West,896769364,4:59
My Beautiful Dark Twisted Fantasy,Dark Fantasy,Kanye West,273325879,4:40
My Beautiful Dark Twisted Fantasy,Gorgeous,Kanye West;Kid Cudi;Raekwon,278032091,5:57
My Beautiful Dark Twisted Fantasy,So Appalled,Kanye West;JAY-Z;Pusha T;CyHi,107214912,6:37
My Beautiful Dark Twisted Fantasy,Hell Of A Life,Kanye West,130238840,5:27
My Beautiful Dark Twisted Fantasy,Blame Game,Kanye West;John Legend,106083097,7:49
My Beautiful Dark Twisted Fantasy,Lost In The World,Kanye West;Bon Iver,130059337,4:16
My Beautiful Dark Twisted Fantasy,Who Will Survive In America,Kanye West,39981586,1:38
My Beautiful Dark Twisted Fantasy,All Of The Lights (Interlude),Kanye West,84735264,1:02
Yeezus,Bound 2,Kanye West,1289238606,3:49
Yeezus,Black Skinhead,Kanye West,696873707,3:08
Yeezus,Blood On The Leaves,Kanye West,220940938,5:59
Yeezus,On Sight,Kanye West,226514989,2:36
Yeezus,New Slaves,Kanye West,170233441,4:16
Yeezus,Hold My Liquor,Kanye West,152427381,5:26
Yeezus,I'm In It,Kanye West,74274783,3:54
Yeezus,Guilt Trip,Kanye West,64437501,4:03
Yeezus,Send It Up,Kanye West,74890647,2:58
Yeezus,I Am A God,Kanye West,91691156,3:51
The Life Of Pablo,Father Stretch My Hands Pt. 1,Kanye West,1433175843,2:15
The Life Of Pablo,Famous,Kanye West,684524649,3:16
The Life Of Pablo,Waves,Kanye West,511327985,3:01
The Life Of Pablo,Ultralight Beam,Kanye West,394351534,5:20
The Life Of Pablo,Feedback,Kanye West,135210130,2:27
The Life Of Pablo,Highlights,Kanye West,116058410,3:19
The Life Of Pablo,Real Friends,Kanye West,230869172,4:11
The Life Of Pablo,Wolves,Kanye West,311334301,5:01
The Life Of Pablo,Fade,Kanye West,268143695,3:13
The Life Of Pablo,Saint Pablo,Kanye West,249048103,6:12
Donda,Praise God,Kanye West,549845379,3:46
Donda,Hurricane,Kanye West;The Weeknd;…,468456027,4:03
Donda,Moon,Kanye West,375307135,2:36
Donda,Off The Grid,Kanye West,318835563,5:39
Donda,Jail,Kanye West,153750994,4:57
Donda,Believe What I Say,Kanye West,149453654,4:02
Donda,No Child Left Behind,Kanye West,120663588,2:58
Donda,Heaven and Hell,Kanye West,105239360,2:25
Donda,Pure Souls,Kanye West,105131331,5:58
Donda,24,Kanye West,90706017,3:17
Donda,Come to Life,Kanye West,80756801,5:10
Donda,Jonah,Kanye West,78776838,3:15
Donda,Remote Control,Kanye West,75642490,3:18
Donda,New Again,Kanye West,72268102,3:03
Donda,Keep My Spirit Alive,Kanye West,68914055,3:41
Donda,Junya,Kanye West,68159827,2:27
Donda,Ok Ok,Kanye West,65349108,3:24
Donda,Lord I Need You,Kanye West,63065248,2:42
Donda,Jesus Lord,Kanye West,56288957,8:58
Donda,God Breathed,Kanye West,56432824,5:33
Donda,Donda,Kanye West,40901202,2:08
Donda,Tell The Vision,Kanye West,29514291,1:44
ye,Violent Crimes,Kanye West,899920157,3:35
ye,Ghost Town,Kanye West,730203297,4:31
ye,All Mine,Kanye West,574114925,2:25
ye,Yikes,Kanye West,248455521,3:08
ye,Wouldn't Leave,Kanye West;PARTYNEXTDOOR,133041346,3:25
ye,No Mistakes,Kanye West,127782827,2:03
ye,I Thought About Killing You,Kanye West,121469574,4:34
Jesus Is King,Follow God,Kanye West,514848787,1:44
Jesus Is King,God Is,Kanye West,241630097,3:23
Jesus Is King,Closed On Sunday,Kanye West,133300116,2:31
Jesus Is King,Selah,Kanye West,109961827,2:44
Jesus Is King,On God,Kanye West,107742418,2:16
Jesus Is King,Use This Gospel,Kanye West,103201029,3:33
Jesus Is King,Everything We Need,Kanye West;Ty Dolla $ign;…,94868530,1:56
Jesus Is King,Every Hour,Kanye West;Sunday Service Choir,64031981,1:52
Jesus Is King,Water,Kanye West;Ant Clemons,63000968,2:48
Jesus Is King,Hands On,Kanye West;Fred Hammond;…,59584816,3:23
Jesus Is King,Jesus Is Lord,Kanye West,49262397,0:49
VULTURES 1,CARNIVAL,¥$;Kanye West;Ty Dolla $ign,856992916,4:24
VULTURES 1,BURN,¥$;Kanye West;Ty Dolla $ign,266309454,1:51
VULTURES 1,FUK SUMN,¥$;Kanye West;Ty Dolla $ign,224953574,3:29
VULTURES 1,BACK TO ME,¥$;Kanye West;Ty Dolla $ign,124279161,4:55
